iter	RMSE
0	28.96284493
1	27.68828342
2	26.46907186
3	25.35354055
4	24.27232227
5	23.25990692
6	22.28583194
7	21.39425047
8	20.50193214
9	19.63036684
10	18.8789697
11	18.10122428
12	17.36370156
13	16.6878749
14	16.04404306
15	15.4175602
16	14.83852269
17	14.27003239
18	13.72655143
19	13.237166
20	12.77623702
21	12.31273704
22	11.89160518
23	11.4800557
24	11.09114719
25	10.71690429
26	10.36749051
27	10.01590322
28	9.699906374
29	9.401668452
30	9.093816426
31	8.840582972
32	8.571137356
33	8.317960401
34	8.073385253
35	7.834689983
36	7.603870057
37	7.385501637
38	7.191164161
39	6.987764878
40	6.802515713
41	6.633448466
42	6.477066384
43	6.331186317
44	6.178534904
45	6.056355032
46	5.913645967
47	5.783908705
48	5.645682074
49	5.521789351
50	5.403666022
51	5.293308586
52	5.188230133
53	5.081252586
54	4.98954816
55	4.890126857
56	4.802977926
57	4.725916607
58	4.636418496
59	4.557168306
60	4.487273385
61	4.415915236
62	4.350453234
63	4.283210824
64	4.220523718
65	4.163086527
66	4.100591944
67	4.041834179
68	3.99023005
69	3.933134047
70	3.882012618
71	3.84105747
72	3.797868694
73	3.751495031
74	3.702820538
75	3.660469714
76	3.619391045
77	3.580849244
78	3.544606982
79	3.502795518
80	3.465603514
81	3.432759648
82	3.401140244
83	3.364441597
84	3.335121227
85	3.300031488
86	3.270675862
87	3.241601239
88	3.212058051
89	3.183943256
90	3.158223337
91	3.130764655
92	3.102428065
93	3.076801284
94	3.052503379
95	3.032011438
96	3.007616074
97	2.989444561
98	2.968919202
99	2.948684032
100	2.931844283
101	2.917696771
102	2.900118545
103	2.881147028
104	2.86327444
105	2.844557643
106	2.827544927
107	2.811824163
108	2.794123692
109	2.780549377
110	2.765019432
111	2.749954584
112	2.735388398
113	2.719117933
114	2.708796937
115	2.692375916
116	2.679010833
117	2.667366078
118	2.657538337
119	2.645447373
120	2.638558966
121	2.627123909
122	2.613677216
123	2.600609119
124	2.588298206
125	2.578626594
126	2.569448384
127	2.557124249
128	2.544331887
129	2.532727199
130	2.523238019
131	2.511077489
132	2.500622166
133	2.492742924
134	2.484582216
135	2.476220735
136	2.467493953
137	2.459194994
138	2.450326155
139	2.443730926
140	2.436280104
141	2.431494886
142	2.422250226
143	2.415155541
144	2.409110748
145	2.400682135
146	2.391340456
147	2.384687309
148	2.377113404
149	2.3701602
150	2.363732994
151	2.359243505
152	2.351162968
153	2.343558375
154	2.339926987
155	2.332807155
156	2.325709878
157	2.320538444
158	2.314245452
159	2.307452508
160	2.300203311
161	2.29617692
162	2.291881746
163	2.285035949
164	2.278585321
165	2.271762667
166	2.264273262
167	2.257411403
168	2.251992199
169	2.24617507
170	2.240875183
171	2.235635581
172	2.231296977
173	2.225339243
174	2.220893769
175	2.213840603
176	2.209039446
177	2.202743809
178	2.198788231
179	2.195415673
180	2.191755351
181	2.187943266
182	2.181810002
183	2.177087246
184	2.171090017
185	2.164963845
186	2.15959739
187	2.156700615
188	2.152649564
189	2.149086249
190	2.143547447
191	2.138420263
