iter	Passed	Remaining
0	60	48570
1	62	24787
2	63	16883
3	65	12975
4	66	10586
5	68	9116
6	70	7991
7	71	7109
8	73	6436
9	74	5885
10	75	5437
11	77	5074
12	79	4795
13	80	4528
14	81	4285
15	83	4073
16	84	3889
17	85	3719
18	86	3574
19	88	3444
20	89	3327
21	90	3217
22	92	3116
23	93	3025
24	94	2940
25	95	2857
26	97	2783
27	98	2713
28	99	2647
29	100	2586
30	102	2530
31	103	2477
32	104	2432
33	105	2387
34	107	2345
35	108	2302
36	109	2263
37	111	2225
38	112	2193
39	113	2159
40	114	2128
41	116	2096
42	117	2067
43	118	2040
44	119	2012
45	121	1987
46	122	1962
47	123	1940
48	125	1918
49	126	1895
50	127	1875
51	129	1855
52	130	1834
53	131	1816
54	132	1798
55	134	1782
56	135	1766
57	136	1750
58	137	1733
59	139	1717
60	140	1703
61	141	1689
62	143	1676
63	144	1662
64	145	1647
65	146	1633
66	148	1621
67	149	1608
68	150	1595
69	151	1582
70	152	1570
71	154	1558
72	155	1546
73	156	1536
74	157	1525
75	158	1514
76	160	1506
77	161	1497
78	163	1488
79	164	1480
80	165	1472
81	167	1463
82	168	1453
83	169	1444
84	170	1435
85	171	1426
86	172	1417
87	174	1409
88	175	1402
89	176	1393
90	177	1385
91	179	1378
92	180	1369
93	181	1361
94	182	1354
95	183	1347
96	185	1343
97	186	1337
98	187	1330
99	189	1323
100	190	1318
101	191	1311
102	192	1304
103	193	1298
104	195	1291
105	196	1285
106	197	1279
107	198	1273
108	200	1267
109	201	1261
110	202	1256
111	203	1251
112	204	1245
113	206	1240
114	207	1235
115	208	1230
116	210	1227
117	211	1222
118	212	1217
119	214	1212
120	215	1207
121	216	1202
122	217	1196
123	218	1191
124	219	1186
125	221	1182
126	222	1177
127	223	1173
128	224	1168
129	225	1163
130	227	1159
131	228	1154
132	229	1149
133	230	1146
134	231	1142
135	232	1137
136	234	1133
137	235	1128
138	236	1124
139	237	1120
140	238	1116
141	240	1113
142	241	1108
143	242	1105
144	243	1101
145	245	1097
146	246	1093
147	247	1090
148	248	1086
149	249	1082
150	251	1079
151	252	1076
152	253	1072
153	254	1069
154	255	1065
155	257	1061
156	258	1057
157	259	1053
158	260	1049
159	261	1046
160	262	1043
161	264	1039
162	265	1036
163	266	1032
164	267	1029
165	268	1026
166	269	1023
167	271	1020
168	272	1017
169	273	1014
170	274	1010
171	275	1007
172	277	1004
173	278	1001
174	279	998
175	280	995
176	281	992
177	283	989
178	284	986
179	285	983
180	286	980
181	287	977
182	288	974
183	290	971
184	291	968
185	292	966
186	293	962
187	295	960
188	296	957
189	297	955
190	299	954
191	300	951
192	301	949
193	303	946
194	304	943
195	305	941
196	306	938
197	307	935
198	308	933
199	310	930
200	311	927
201	312	924
202	313	921
203	314	919
204	315	916
205	316	913
206	317	910
207	319	908
208	320	905
209	321	903
210	322	900
211	324	898
212	325	896
213	326	893
214	327	891
215	328	889
216	330	886
217	331	884
218	332	881
219	333	879
220	335	877
221	336	875
222	337	873
223	338	870
224	339	868
225	341	866
226	342	864
227	343	862
228	344	859
229	345	857
230	347	854
231	348	852
232	349	850
233	350	847
234	351	845
235	352	843
236	354	841
237	355	838
238	356	836
239	357	834
240	358	832
241	360	830
242	361	828
243	362	826
244	363	824
245	364	821
246	366	819
247	367	817
248	368	815
249	369	813
250	371	811
251	372	809
252	374	809
253	375	807
254	377	806
255	378	804
256	379	802
257	381	801
258	382	799
259	384	797
260	385	795
261	386	794
262	388	792
263	390	791
264	391	790
265	392	788
266	394	786
267	395	785
268	397	783
269	398	782
270	400	781
271	401	779
272	403	778
273	404	777
274	406	775
275	407	773
276	409	772
277	410	770
278	411	768
279	413	767
280	414	765
281	416	764
282	418	763
283	420	764
284	422	763
285	423	761
286	425	760
287	427	759
288	428	758
289	430	756
290	431	755
291	433	753
292	435	752
293	436	751
294	438	749
295	440	749
296	442	748
297	445	750
298	448	752
299	450	750
300	451	748
301	452	746
302	454	745
303	455	743
304	456	741
305	458	739
306	459	737
307	460	735
308	461	733
309	463	732
310	464	730
311	465	728
312	467	726
313	468	724
314	469	722
315	470	721
316	471	719
317	473	717
318	474	715
319	475	713
320	476	711
321	478	709
322	479	708
323	480	706
324	482	704
325	483	702
326	484	701
327	486	699
328	487	698
329	489	696
330	490	695
331	491	693
332	493	691
333	494	690
334	496	688
335	497	687
336	498	685
337	499	683
338	500	681
339	502	679
340	503	677
341	504	675
342	506	674
343	507	672
344	508	670
345	509	668
346	510	666
347	511	664
348	512	662
349	514	660
350	515	659
351	516	657
352	517	655
353	518	653
354	519	651
355	520	649
356	522	647
357	523	646
358	524	644
359	525	642
360	527	641
361	528	639
362	529	637
363	530	635
364	532	634
365	533	632
366	534	630
367	535	628
368	537	627
369	538	625
370	539	623
371	540	621
372	541	620
373	543	618
374	544	616
375	545	615
376	546	613
377	547	611
378	549	609
379	550	608
380	551	606
381	552	604
382	553	602
383	554	601
384	556	599
385	557	597
386	558	596
387	559	594
388	560	592
389	561	590
390	563	589
391	564	587
392	565	585
393	567	584
394	568	583
395	570	581
396	571	579
397	572	578
398	573	576
399	574	574
400	576	573
401	577	571
402	578	569
403	579	568
404	580	566
405	581	564
406	583	563
407	584	561
408	586	560
409	587	559
410	588	557
411	590	555
412	591	554
413	592	552
414	593	550
415	594	548
416	595	547
417	596	545
418	598	543
419	599	542
420	600	540
421	602	539
422	603	537
423	604	535
424	605	534
425	606	532
426	607	530
427	608	529
428	610	527
429	611	526
430	612	524
431	613	522
432	615	521
433	616	519
434	617	517
435	618	516
436	619	514
437	620	513
438	621	511
439	623	509
440	624	508
441	625	506
442	626	504
443	627	503
444	628	501
445	629	500
446	631	498
447	632	496
448	633	495
449	634	493
450	635	492
451	637	490
452	638	488
453	639	487
454	640	485
455	641	484
456	643	482
457	644	481
458	645	479
459	646	477
460	647	476
461	648	474
462	650	473
463	651	471
464	652	470
465	654	469
466	655	467
467	656	465
468	657	464
469	659	462
470	660	461
471	661	459
472	662	457
473	664	456
474	665	455
475	666	453
476	667	452
477	669	450
478	670	449
479	671	447
480	672	446
481	673	444
482	675	443
483	676	441
484	677	439
485	678	438
486	679	436
487	680	435
488	682	433
489	683	432
490	684	430
491	685	429
492	686	427
493	687	426
494	689	424
495	690	423
496	691	421
497	692	420
498	694	418
499	695	417
500	696	415
501	697	414
502	699	412
503	700	411
504	701	409
505	702	408
506	703	406
507	705	405
508	706	403
509	707	402
510	708	400
511	710	399
512	711	397
513	712	396
514	713	394
515	714	393
516	716	391
517	717	390
518	718	388
519	719	387
520	720	385
521	721	384
522	723	383
523	724	381
524	725	380
525	727	378
526	728	377
527	729	375
528	730	374
529	732	372
530	733	371
531	734	369
532	735	368
533	736	366
534	737	365
535	738	363
536	740	362
537	741	361
538	742	359
539	743	358
540	745	356
541	746	355
542	747	353
543	749	352
544	750	351
545	751	349
546	753	348
547	754	346
548	755	345
549	756	343
550	758	342
551	759	341
552	760	339
553	761	338
554	762	336
555	763	335
556	765	333
557	766	332
558	767	330
559	768	329
560	770	328
561	771	326
